Time,Water
2009-01,16
2009-02,15
2009-03,15
2009-04,14
2009-05,54
2009-06,25
2009-07,22
2009-08,23
2009-09,13
2009-10,18
2009-11,14
2009-12,12
2010-01,18
2010-02,14
2010-03,14
2010-04,15
2010-05,29
2010-06,14
2010-07,17
2010-08,16
2010-09,23
2010-10,19
2010-11,22
2010-12,13
2011-01,21
2011-02,17
2011-03,19
2011-04,20
2011-05,21
2011-06,16
2011-07,15
2011-08,14
2011-09,16
2011-10,17
2011-11,14
2011-12,15
2012-01,22
2012-02,20
2012-03,17
2012-04,20
2012-05,20
2012-06,22
2012-07,19
2012-08,21
2012-09,21
2012-10,14
2012-11,21
2012-12,14
2013-01,20
2013-02,17
2013-03,17
2013-04,16
2013-05,21
2013-06,20
2013-07,18
2013-08,18
2013-09,19
2013-10,16
2013-11,16
2013-12,13
2014-01,22
2014-02,18
2014-03,16
2014-04,17
2014-05,24
2014-06,21
2014-07,17
2014-08,19
2014-09,18
2014-10,16
2014-11,25
2014-12,16
2015-01,15
2015-02,12
2015-03,14
2015-04,18
2015-05,16
2015-06,17
2015-07,20
2015-08,19
2015-09,16
2015-10,18
2015-11,16
2015-12,14
